age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
43,1,0,0,0,49,1,0,2,9,8,100,1,-1,0,3
53,1,1,1,0,25,0,0,0,22,1,528,2,-1,0,3
48,1,1,1,0,480,1,0,0,15,8,830,1,352,2,0
63,5,1,1,0,474,0,0,0,25,4,423,1,-1,0,3
29,1,2,2,0,455,0,0,1,21,0,403,1,-1,0,3
32,1,1,1,0,2089,1,0,0,14,9,132,1,-1,0,3
37,0,1,2,0,3913,1,0,0,27,0,124,1,-1,0,3
64,5,1,1,0,1574,0,0,1,29,5,301,3,-1,0,3
27,8,2,1,0,213,0,0,0,27,7,378,1,-1,0,3
54,4,0,2,0,7010,0,0,0,11,7,275,2,-1,0,3
32,7,1,0,0,228,1,0,0,21,5,1017,6,-1,0,3
22,8,2,1,0,2488,0,0,0,8,9,449,2,38,10,1
55,11,1,0,0,159,0,0,2,4,11,15,1,-1,0,3
54,1,1,1,0,448,1,1,0,5,1,98,1,-1,0,3
27,7,2,1,0,54,1,0,2,28,8,543,2,-1,0,3
62,6,0,2,0,6,1,0,0,13,10,216,1,183,4,2
35,4,1,2,0,8,0,0,0,23,0,93,3,-1,0,3
32,7,2,1,0,133,0,0,0,15,0,171,1,-1,0,3
41,4,1,2,0,326,1,0,0,5,8,788,1,-1,0,3
43,1,1,1,0,3060,1,0,2,15,8,253,2,-1,0,3
35,9,1,2,0,7050,0,0,0,11,1,222,3,182,4,2
80,3,1,0,0,0,0,0,0,23,3,639,1,189,1,0
27,7,1,1,0,0,1,0,0,22,5,1608,13,-1,0,3
55,9,1,1,1,-308,0,0,0,2,3,781,1,-1,0,3
34,9,1,2,0,197,0,0,0,20,1,78,3,-1,0,3
38,9,2,2,0,2273,1,0,0,17,0,222,1,-1,0,3
27,4,1,2,0,802,0,0,0,22,11,569,1,-1,0,3
35,6,2,1,0,1732,0,0,1,21,9,1441,3,-1,0,3
